Task	Species	Rep	ObservationID	Model	DisplayLabel	PlanScore	ToolScore	ParameterScore	RateScore	TotalScore
Transcriptomics	Oryza_sativa	rep1	Transcriptomics|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	19	15	16	6.25	56.25
Transcriptomics	Oryza_sativa	rep2	Transcriptomics|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	20	16	17	6.25	59.25
Transcriptomics	Oryza_sativa	rep3	Transcriptomics|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	19	16	16	6.25	57.25
Transcriptomics	Oryza_sativa	rep4	Transcriptomics|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	20	17	18	6.25	61.25
Transcriptomics	Oryza_sativa	rep5	Transcriptomics|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	19	15	16	10	60
Proteomics	Oryza_sativa	rep1	Proteomics|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	18	18	14	12.5	62.5
Proteomics	Oryza_sativa	rep2	Proteomics|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	18	19	13	6.25	56.25
Proteomics	Oryza_sativa	rep3	Proteomics|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	17	18	12	12.5	59.5
Proteomics	Oryza_sativa	rep4	Proteomics|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	19	18	15	6.25	58.25
Proteomics	Oryza_sativa	rep5	Proteomics|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	19	18	15	6.25	58.25
Metabolomics	Oryza_sativa	rep1	Metabolomics|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	17	16	14	6.25	53.25
Metabolomics	Oryza_sativa	rep2	Metabolomics|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	17	17	15	6.25	55.25
Metabolomics	Oryza_sativa	rep3	Metabolomics|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	16	16	13	6.25	51.25
Metabolomics	Oryza_sativa	rep4	Metabolomics|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	17	17	14	25	73
Metabolomics	Oryza_sativa	rep5	Metabolomics|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	17	17	14	6.25	54.25
Evolutionary analysis	Oryza_sativa	rep1	Evolutionary analysis|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	18	19	16	6.25	59.25
Evolutionary analysis	Oryza_sativa	rep2	Evolutionary analysis|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	18	19	17	6.25	60.25
Evolutionary analysis	Oryza_sativa	rep3	Evolutionary analysis|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	18	19	16	6.25	59.25
Evolutionary analysis	Oryza_sativa	rep4	Evolutionary analysis|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	17	18	15	15	65
Evolutionary analysis	Oryza_sativa	rep5	Evolutionary analysis|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	18	19	16	6.25	59.25
Epigenomics	Oryza_sativa	rep1	Epigenomics|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	20	20	17	6.25	63.25
Epigenomics	Oryza_sativa	rep2	Epigenomics|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	19	19	16	6.25	60.25
Epigenomics	Oryza_sativa	rep3	Epigenomics|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	16	16	14	18.75	64.75
Epigenomics	Oryza_sativa	rep4	Epigenomics|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	20	20	18	6.25	64.25
Epigenomics	Oryza_sativa	rep5	Epigenomics|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	20	20	17	18.75	75.75
Variant calling	Oryza_sativa	rep1	Variant calling|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	18	18	15	12.5	63.5
Variant calling	Oryza_sativa	rep2	Variant calling|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	17	17	14	6.25	54.25
Variant calling	Oryza_sativa	rep3	Variant calling|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	18	18	16	6.25	58.25
Variant calling	Oryza_sativa	rep4	Variant calling|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	18	18	16	12.5	64.5
Variant calling	Oryza_sativa	rep5	Variant calling|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	18	18	16	18.75	70.75
GWAS	Oryza_sativa	rep1	GWAS|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	20	19	18	25	82
GWAS	Oryza_sativa	rep2	GWAS|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	19	18	19	6.25	62.25
GWAS	Oryza_sativa	rep3	GWAS|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	20	19	17	12.5	68.5
GWAS	Oryza_sativa	rep4	GWAS|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	19	18	17	10	64
GWAS	Oryza_sativa	rep5	GWAS|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	19	18	18	6.25	61.25
Genomic selection	Oryza_sativa	rep1	Genomic selection|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	13	11	15	6.25	45.25
Genomic selection	Oryza_sativa	rep2	Genomic selection|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	12	13	14	6.25	45.25
Genomic selection	Oryza_sativa	rep3	Genomic selection|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	13	13	15	12.5	53.5
Genomic selection	Oryza_sativa	rep4	Genomic selection|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	11	14	15	6.25	46.25
Genomic selection	Oryza_sativa	rep5	Genomic selection|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	12	13	16	6.25	47.25
Single-cell analysis	Oryza_sativa	rep1	Single-cell analysis|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	21	20	18	6.25	65.25
Single-cell analysis	Oryza_sativa	rep2	Single-cell analysis|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	21	20	18	6.25	65.25
Single-cell analysis	Oryza_sativa	rep3	Single-cell analysis|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	21	20	18	6.25	65.25
Single-cell analysis	Oryza_sativa	rep4	Single-cell analysis|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	21	20	18	5	64
Single-cell analysis	Oryza_sativa	rep5	Single-cell analysis|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	21	20	18	6.25	65.25
Spatial transcriptomics	Oryza_sativa	rep1	Spatial transcriptomics|Oryza_sativa|rep1	Gemini-2.5-Pro	Gemini-2.5-Pro	22	21	19	5	67
Spatial transcriptomics	Oryza_sativa	rep2	Spatial transcriptomics|Oryza_sativa|rep2	Gemini-2.5-Pro	Gemini-2.5-Pro	22	21	19	6.25	68.25
Spatial transcriptomics	Oryza_sativa	rep3	Spatial transcriptomics|Oryza_sativa|rep3	Gemini-2.5-Pro	Gemini-2.5-Pro	21	20	19	8.33333333333333	68.3333333333333
Spatial transcriptomics	Oryza_sativa	rep4	Spatial transcriptomics|Oryza_sativa|rep4	Gemini-2.5-Pro	Gemini-2.5-Pro	21	20	19	18.75	78.75
Spatial transcriptomics	Oryza_sativa	rep5	Spatial transcriptomics|Oryza_sativa|rep5	Gemini-2.5-Pro	Gemini-2.5-Pro	22	21	19	6.25	68.25
Transcriptomics	Oryza_sativa	rep1	Transcriptomics|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	21	22	18	6.25	67.25
Transcriptomics	Oryza_sativa	rep2	Transcriptomics|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	21	22	18	12.5	73.5
Transcriptomics	Oryza_sativa	rep3	Transcriptomics|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	21	22	18	6.25	67.25
Transcriptomics	Oryza_sativa	rep4	Transcriptomics|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	20	20	17	6.25	63.25
Transcriptomics	Oryza_sativa	rep5	Transcriptomics|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	20	20	17	6.25	63.25
Proteomics	Oryza_sativa	rep1	Proteomics|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	21	22	19	12.5	74.5
Proteomics	Oryza_sativa	rep2	Proteomics|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	18	21	19	6.25	64.25
Proteomics	Oryza_sativa	rep3	Proteomics|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	19	18	16	12.5	65.5
Proteomics	Oryza_sativa	rep4	Proteomics|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	22	19	19	6.25	66.25
Proteomics	Oryza_sativa	rep5	Proteomics|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	20	20	17	6.25	63.25
Metabolomics	Oryza_sativa	rep1	Metabolomics|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	23	19	20	12.5	74.5
Metabolomics	Oryza_sativa	rep2	Metabolomics|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	19	20	17	12.5	68.5
Metabolomics	Oryza_sativa	rep3	Metabolomics|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	21	17	17	6.25	61.25
Metabolomics	Oryza_sativa	rep4	Metabolomics|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	18	20	20	12.5	70.5
Metabolomics	Oryza_sativa	rep5	Metabolomics|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	21	18	18	6.25	63.25
Evolutionary analysis	Oryza_sativa	rep1	Evolutionary analysis|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	20	20	17	6.25	63.25
Evolutionary analysis	Oryza_sativa	rep2	Evolutionary analysis|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	17	20	17	12.5	66.5
Evolutionary analysis	Oryza_sativa	rep3	Evolutionary analysis|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	18	18	18	6.25	60.25
Evolutionary analysis	Oryza_sativa	rep4	Evolutionary analysis|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	17	17	18	5	57
Evolutionary analysis	Oryza_sativa	rep5	Evolutionary analysis|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	15	21	18	12.5	66.5
Epigenomics	Oryza_sativa	rep1	Epigenomics|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	20	19	18	20	77
Epigenomics	Oryza_sativa	rep2	Epigenomics|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	20	20	19	18.75	77.75
Epigenomics	Oryza_sativa	rep3	Epigenomics|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	21	20	19	25	85
Epigenomics	Oryza_sativa	rep4	Epigenomics|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	20	21	18	18.75	77.75
Epigenomics	Oryza_sativa	rep5	Epigenomics|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	23	22	19	18.75	82.75
Variant calling	Oryza_sativa	rep1	Variant calling|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	20	21	18	10	69
Variant calling	Oryza_sativa	rep2	Variant calling|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	19	20	20	18.75	77.75
Variant calling	Oryza_sativa	rep3	Variant calling|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	18	19	19	18.75	74.75
Variant calling	Oryza_sativa	rep4	Variant calling|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	19	20	18	18.75	75.75
Variant calling	Oryza_sativa	rep5	Variant calling|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	22	22	19	18.75	81.75
GWAS	Oryza_sativa	rep1	GWAS|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	20	19	20	12.5	71.5
GWAS	Oryza_sativa	rep2	GWAS|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	20	20	18	12.5	70.5
GWAS	Oryza_sativa	rep3	GWAS|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	19	19	19	6.25	63.25
GWAS	Oryza_sativa	rep4	GWAS|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	19	19	19	12.5	69.5
GWAS	Oryza_sativa	rep5	GWAS|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	18	20	18	12.5	68.5
Genomic selection	Oryza_sativa	rep1	Genomic selection|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	22	21	19	6.25	68.25
Genomic selection	Oryza_sativa	rep2	Genomic selection|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	22	21	19	6.25	68.25
Genomic selection	Oryza_sativa	rep3	Genomic selection|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	22	21	19	6.25	68.25
Genomic selection	Oryza_sativa	rep4	Genomic selection|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	22	21	18	6.25	67.25
Genomic selection	Oryza_sativa	rep5	Genomic selection|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	12	15	13	6.25	46.25
Single-cell analysis	Oryza_sativa	rep1	Single-cell analysis|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	24	24	21	6.25	75.25
Single-cell analysis	Oryza_sativa	rep2	Single-cell analysis|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	24	24	21	6.25	75.25
Single-cell analysis	Oryza_sativa	rep3	Single-cell analysis|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	23	23	20	6.25	72.25
Single-cell analysis	Oryza_sativa	rep4	Single-cell analysis|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	23	23	20	12.5	78.5
Single-cell analysis	Oryza_sativa	rep5	Single-cell analysis|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	23	22	19	6.25	70.25
Spatial transcriptomics	Oryza_sativa	rep1	Spatial transcriptomics|Oryza_sativa|rep1	Claude-Opus-4.1	Claude-Opus-4.1	22	22	20	12.5	76.5
Spatial transcriptomics	Oryza_sativa	rep2	Spatial transcriptomics|Oryza_sativa|rep2	Claude-Opus-4.1	Claude-Opus-4.1	21	21	19	6.25	67.25
Spatial transcriptomics	Oryza_sativa	rep3	Spatial transcriptomics|Oryza_sativa|rep3	Claude-Opus-4.1	Claude-Opus-4.1	23	23	21	6.25	73.25
Spatial transcriptomics	Oryza_sativa	rep4	Spatial transcriptomics|Oryza_sativa|rep4	Claude-Opus-4.1	Claude-Opus-4.1	22	22	20	6.25	70.25
Spatial transcriptomics	Oryza_sativa	rep5	Spatial transcriptomics|Oryza_sativa|rep5	Claude-Opus-4.1	Claude-Opus-4.1	22	22	20	6.25	70.25
Transcriptomics	Oryza_sativa	rep1	Transcriptomics|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	18	18	15	12.5	63.5
Transcriptomics	Oryza_sativa	rep2	Transcriptomics|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	19	19	17	6.25	61.25
Transcriptomics	Oryza_sativa	rep3	Transcriptomics|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	18	18	15	6.25	57.25
Transcriptomics	Oryza_sativa	rep4	Transcriptomics|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	16	15	11	12.5	54.5
Transcriptomics	Oryza_sativa	rep5	Transcriptomics|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	18	18	14	10	60
Proteomics	Oryza_sativa	rep1	Proteomics|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	20	20	17	6.25	63.25
Proteomics	Oryza_sativa	rep2	Proteomics|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	21	21	18	6.25	66.25
Proteomics	Oryza_sativa	rep3	Proteomics|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	18	18	15	6.25	57.25
Proteomics	Oryza_sativa	rep4	Proteomics|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	17	17	12	18.75	64.75
Proteomics	Oryza_sativa	rep5	Proteomics|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	18	18	14	12.5	62.5
Metabolomics	Oryza_sativa	rep1	Metabolomics|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	18	19	14	6.25	57.25
Metabolomics	Oryza_sativa	rep2	Metabolomics|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	20	20	17	6.25	63.25
Metabolomics	Oryza_sativa	rep3	Metabolomics|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	18	19	15	6.25	58.25
Metabolomics	Oryza_sativa	rep4	Metabolomics|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	18	19	14	6.25	57.25
Metabolomics	Oryza_sativa	rep5	Metabolomics|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	18	19	14	6.25	57.25
Evolutionary analysis	Oryza_sativa	rep1	Evolutionary analysis|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	15	14	12	6.25	47.25
Evolutionary analysis	Oryza_sativa	rep2	Evolutionary analysis|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	16	15	13	12.5	56.5
Evolutionary analysis	Oryza_sativa	rep3	Evolutionary analysis|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	14	13	12	5	44
Evolutionary analysis	Oryza_sativa	rep4	Evolutionary analysis|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	16	15	13	5	49
Evolutionary analysis	Oryza_sativa	rep5	Evolutionary analysis|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	14	13	11	15	53
Epigenomics	Oryza_sativa	rep1	Epigenomics|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	17	17	22	25	81
Epigenomics	Oryza_sativa	rep2	Epigenomics|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	17	17	23	25	82
Epigenomics	Oryza_sativa	rep3	Epigenomics|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	15	15	22	25	77
Epigenomics	Oryza_sativa	rep4	Epigenomics|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	16	16	22	25	79
Epigenomics	Oryza_sativa	rep5	Epigenomics|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	15	15	23	18.75	71.75
Variant calling	Oryza_sativa	rep1	Variant calling|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	14	14	12	12.5	52.5
Variant calling	Oryza_sativa	rep2	Variant calling|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	17	17	15	18.75	67.75
Variant calling	Oryza_sativa	rep3	Variant calling|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	14	14	12	12.5	52.5
Variant calling	Oryza_sativa	rep4	Variant calling|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	14	14	12	18.75	58.75
Variant calling	Oryza_sativa	rep5	Variant calling|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	15	15	14	12.5	56.5
GWAS	Oryza_sativa	rep1	GWAS|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	17	16	13	12.5	58.5
GWAS	Oryza_sativa	rep2	GWAS|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	17	16	14	6.25	53.25
GWAS	Oryza_sativa	rep3	GWAS|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	16	15	13	12.5	56.5
GWAS	Oryza_sativa	rep4	GWAS|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	16	15	13	6.25	50.25
GWAS	Oryza_sativa	rep5	GWAS|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	17	16	14	6.25	53.25
Genomic selection	Oryza_sativa	rep1	Genomic selection|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	15	14	12	6.25	47.25
Genomic selection	Oryza_sativa	rep2	Genomic selection|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	14	13	11	6.25	44.25
Genomic selection	Oryza_sativa	rep3	Genomic selection|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	15	13	11	6.25	45.25
Genomic selection	Oryza_sativa	rep4	Genomic selection|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	16	14	12	6.25	48.25
Genomic selection	Oryza_sativa	rep5	Genomic selection|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	15	13	13	6.25	47.25
Single-cell analysis	Oryza_sativa	rep1	Single-cell analysis|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	19	19	16	5	59
Single-cell analysis	Oryza_sativa	rep2	Single-cell analysis|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	18	18	15	6.25	57.25
Single-cell analysis	Oryza_sativa	rep3	Single-cell analysis|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	18	18	15	6.25	57.25
Single-cell analysis	Oryza_sativa	rep4	Single-cell analysis|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	18	18	15	6.25	57.25
Single-cell analysis	Oryza_sativa	rep5	Single-cell analysis|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	17	17	14	25	73
Spatial transcriptomics	Oryza_sativa	rep1	Spatial transcriptomics|Oryza_sativa|rep1	Grok-3-Beta	Grok-3-Beta	17	16	14	6.25	53.25
Spatial transcriptomics	Oryza_sativa	rep2	Spatial transcriptomics|Oryza_sativa|rep2	Grok-3-Beta	Grok-3-Beta	18	17	15	6.25	56.25
Spatial transcriptomics	Oryza_sativa	rep3	Spatial transcriptomics|Oryza_sativa|rep3	Grok-3-Beta	Grok-3-Beta	17	16	14	6.25	53.25
Spatial transcriptomics	Oryza_sativa	rep4	Spatial transcriptomics|Oryza_sativa|rep4	Grok-3-Beta	Grok-3-Beta	19	18	16	5	58
Spatial transcriptomics	Oryza_sativa	rep5	Spatial transcriptomics|Oryza_sativa|rep5	Grok-3-Beta	Grok-3-Beta	19	18	16	6.25	59.25
Transcriptomics	Oryza_sativa	rep1	Transcriptomics|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	18	18	14	5	55
Transcriptomics	Oryza_sativa	rep2	Transcriptomics|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	18	18	13	6.25	55.25
Transcriptomics	Oryza_sativa	rep3	Transcriptomics|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	19	19	15	6.25	59.25
Transcriptomics	Oryza_sativa	rep4	Transcriptomics|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	18	18	13	6.25	55.25
Transcriptomics	Oryza_sativa	rep5	Transcriptomics|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	17	16	11	6.25	50.25
Proteomics	Oryza_sativa	rep1	Proteomics|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	20	20	17	6.25	63.25
Proteomics	Oryza_sativa	rep2	Proteomics|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	21	20	17	6.25	64.25
Proteomics	Oryza_sativa	rep3	Proteomics|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	20	20	17	6.25	63.25
Proteomics	Oryza_sativa	rep4	Proteomics|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	17	19	12	6.25	54.25
Proteomics	Oryza_sativa	rep5	Proteomics|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	19	19	15	6.25	59.25
Metabolomics	Oryza_sativa	rep1	Metabolomics|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	20	20	16	6.25	62.25
Metabolomics	Oryza_sativa	rep2	Metabolomics|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	20	17	16	6.25	59.25
Metabolomics	Oryza_sativa	rep3	Metabolomics|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	19	20	17	12.5	68.5
Metabolomics	Oryza_sativa	rep4	Metabolomics|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	19	19	15	6.25	59.25
Metabolomics	Oryza_sativa	rep5	Metabolomics|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	18	18	14	6.25	56.25
Evolutionary analysis	Oryza_sativa	rep1	Evolutionary analysis|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	18	17	13	6.25	54.25
Evolutionary analysis	Oryza_sativa	rep2	Evolutionary analysis|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	17	16	12	10	55
Evolutionary analysis	Oryza_sativa	rep3	Evolutionary analysis|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	19	18	14	12.5	63.5
Evolutionary analysis	Oryza_sativa	rep4	Evolutionary analysis|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	15	14	12	6.25	47.25
Evolutionary analysis	Oryza_sativa	rep5	Evolutionary analysis|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	18	17	14	6.25	55.25
Epigenomics	Oryza_sativa	rep1	Epigenomics|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	16	16	14	18.75	64.75
Epigenomics	Oryza_sativa	rep2	Epigenomics|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	17	17	14	12.5	60.5
Epigenomics	Oryza_sativa	rep3	Epigenomics|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	15	15	12	18.75	60.75
Epigenomics	Oryza_sativa	rep4	Epigenomics|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	16	16	14	18.75	64.75
Epigenomics	Oryza_sativa	rep5	Epigenomics|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	17	17	14	25	73
Variant calling	Oryza_sativa	rep1	Variant calling|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	17	17	14	18.75	66.75
Variant calling	Oryza_sativa	rep2	Variant calling|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	16	16	13	12.5	57.5
Variant calling	Oryza_sativa	rep3	Variant calling|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	17	17	14	12.5	60.5
Variant calling	Oryza_sativa	rep4	Variant calling|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	17	17	14	18.75	66.75
Variant calling	Oryza_sativa	rep5	Variant calling|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	17	17	14	16.6666666666667	64.6666666666667
